Country,Year,Disease Name,Disease Category,Prevalence Rate (%),Incidence Rate (%),Mortality Rate (%),Age Group,Gender,Population Affected,Healthcare Access (%),Doctors per 1000,Hospital Beds per 1000,Treatment Type,Average Treatment Cost (USD),Availability of Vaccines/Treatment,Recovery Rate (%),DALYs,Improvement in 5 Years (%),Per Capita Income (USD),Education Index,Urbanization Rate (%)
India,2003,Diabetes,Neurological,8.21,3.25,2.17,36-60,Male,512053,60.85,2.85,1.11,Vaccination,28348,Yes,88.83,2867,9.66,14298,0.54,89.1
India,2019,Diabetes,Respiratory,17.73,8.8,2.74,0-18,Female,701452,79.51,4.88,3.59,Vaccination,35390,No,53.25,2372,4.49,71518,0.83,57.24
Brazil,2007,Diabetes,Respiratory,18.78,12.1,4.74,36-60,Male,338297,69.02,4.53,3.53,Vaccination,32397,No,82.83,3254,5.67,49707,0.63,84.28
South Africa,2019,Diabetes,Neurological,12.07,6.19,3.37,0-18,Male,959241,79.26,3.7,2.58,Surgery,5293,Yes,79.05,2326,8.78,3071,0.8,55.86
Germany,2013,Diabetes,Infectious,3.66,5.99,9.69,61+,Male,174046,63.11,1.84,5.25,Surgery,19498,No,78.65,16,7.72,72528,0.46,75.5
South Korea,2009,Diabetes,Parasitic,0.68,4.4,5.15,19-35,Other,437459,64.05,4.29,7.11,Medication,45198,Yes,72.17,2258,2.91,83335,0.59,53.5
Turkey,2006,Diabetes,Metabolic,4.19,8.96,6.72,19-35,Male,16567,55.28,4.23,6.37,Therapy,7931,No,65.08,4025,6.86,82475,0.55,20.53
UK,2000,Diabetes,Neurological,3.95,12.08,3.8,61+,Male,887553,62.55,1.31,9.26,Therapy,393,Yes,66.25,1606,2.39,60658,0.48,50.41
Nigeria,2017,Diabetes,Autoimmune,18.17,11.13,0.81,36-60,Other,618035,99.1,0.55,7.19,Surgery,22311,No,81.93,37,3.89,21023,0.52,75.0
USA,2004,Diabetes,Infectious,0.74,9.59,4.67,19-35,Male,796266,98.15,2.53,5.47,Surgery,28894,Yes,79.48,3043,1.48,37101,0.47,21.8
Mexico,2001,Diabetes,Autoimmune,19.37,14.21,7.91,0-18,Other,915148,93.71,0.76,4.73,Surgery,4938,No,60.79,3010,6.72,4628,0.41,83.68
Nigeria,2009,Diabetes,Cardiovascular,18.97,5.41,0.74,19-35,Male,776168,81.1,1.29,3.19,Medication,40349,Yes,91.97,2645,8.94,67914,0.85,50.44
Argentina,2018,Diabetes,Metabolic,3.05,8.31,2.66,61+,Male,232492,96.96,3.91,1.38,Vaccination,9252,Yes,83.86,3446,5.19,70269,0.64,73.64
South Africa,2004,Diabetes,Chronic,2.04,3.69,3.56,61+,Female,161368,90.31,4.72,1.64,Vaccination,3787,No,95.95,3135,0.12,55012,0.84,67.4
France,2016,Diabetes,Respiratory,19.42,13.83,3.23,0-18,Other,669191,92.84,1.92,7.69,Vaccination,16741,No,73.37,2529,9.52,25470,0.45,35.43
Australia,2008,Diabetes,Parasitic,6.05,10.94,8.14,0-18,Female,270112,74.9,0.8,3.81,Surgery,19945,Yes,58.34,448,3.92,32206,0.65,22.07
Germany,2008,Diabetes,Chronic,11.22,8.14,3.24,0-18,Other,87626,52.8,2.97,6.23,Surgery,30143,Yes,97.48,1878,7.15,26852,0.75,30.46
China,2021,Diabetes,Autoimmune,18.07,13.93,5.14,36-60,Other,247290,75.67,4.96,3.86,Surgery,41230,No,54.18,4594,2.02,29800,0.54,66.7
Germany,2009,Diabetes,Metabolic,1.08,10.79,1.76,61+,Male,608373,59.96,3.89,0.76,Surgery,20844,Yes,67.95,713,2.01,47708,0.48,66.6
Nigeria,2019,Diabetes,Bacterial,1.11,11.45,1.13,61+,Other,506451,61.45,3.17,0.95,Therapy,44058,No,84.85,305,8.16,22666,0.5,43.9
Germany,2015,Diabetes,Parasitic,19.12,12.07,8.77,0-18,Other,193649,61.26,3.16,6.1,Surgery,30413,Yes,85.01,2606,9.81,64710,0.85,79.89
Saudi Arabia,2005,Diabetes,Parasitic,7.48,11.32,5.45,36-60,Male,411293,92.9,1.61,1.6,Surgery,39129,Yes,84.94,1559,2.48,1411,0.73,54.79
Germany,2024,Diabetes,Respiratory,14.01,3.47,6.56,0-18,Female,904938,83.75,3.63,4.94,Medication,19870,No,89.82,573,2.89,75861,0.77,68.92
India,2012,Diabetes,Genetic,8.46,14.65,2.43,0-18,Other,164200,83.77,2.94,0.52,Medication,3615,No,68.77,1012,2.63,61288,0.82,23.47
Indonesia,2021,Diabetes,Genetic,5.94,12.16,6.29,0-18,Other,610881,70.57,2.58,7.9,Medication,8373,No,81.18,2751,1.29,17493,0.72,57.99
Australia,2009,Diabetes,Chronic,10.52,3.42,0.12,19-35,Female,613826,86.08,3.13,3.77,Therapy,49745,Yes,96.75,3818,0.07,50861,0.41,34.46
France,2020,Diabetes,Chronic,14.35,13.11,7.49,61+,Female,152666,55.46,2.54,6.29,Surgery,28707,No,77.75,4576,7.32,59764,0.52,29.57
Mexico,2007,Diabetes,Autoimmune,1.73,0.58,6.83,19-35,Female,878471,52.92,2.97,0.79,Therapy,2262,Yes,62.59,1014,5.77,2578,0.54,67.48
Russia,2008,Diabetes,Chronic,9.91,13.35,2.48,36-60,Other,152767,61.5,0.83,1.11,Therapy,22819,Yes,54.72,780,6.2,10581,0.59,84.28
Italy,2017,Diabetes,Cardiovascular,13.49,11.04,3.22,36-60,Female,182204,97.52,2.54,0.92,Surgery,276,Yes,50.5,2328,5.34,93322,0.78,50.33
Japan,2024,Diabetes,Parasitic,3.03,3.09,4.06,0-18,Female,463647,78.41,3.11,7.98,Surgery,35181,No,50.31,3324,7.35,90443,0.82,89.11
Germany,2012,Diabetes,Bacterial,7.08,5.26,5.2,36-60,Female,710008,78.73,0.86,6.85,Therapy,11531,Yes,63.89,4846,3.06,12924,0.62,69.26
Mexico,2014,Diabetes,Autoimmune,13.39,12.37,4.06,0-18,Male,766227,91.51,2.83,7.33,Surgery,42496,No,96.81,480,5.36,50786,0.65,45.98
Italy,2017,Diabetes,Parasitic,5.52,13.79,6.43,19-35,Male,130209,88.93,0.61,0.56,Medication,9836,No,68.04,794,0.91,17778,0.56,56.19
UK,2010,Diabetes,Bacterial,1.45,4.1,1.85,0-18,Other,13627,99.91,1.47,7.44,Vaccination,39038,No,81.29,4675,3.74,22542,0.75,57.15
Argentina,2016,Diabetes,Respiratory,13.98,4.94,4.46,19-35,Other,753172,81.24,3.86,8.48,Vaccination,26589,No,89.94,3082,8.57,58380,0.51,29.76
Saudi Arabia,2007,Diabetes,Genetic,12.71,4.34,9.64,0-18,Male,882234,88.45,3.12,6.97,Vaccination,2162,No,96.05,2221,3.6,98050,0.71,75.85
France,2014,Diabetes,Cardiovascular,6.89,5.67,7.54,61+,Female,779570,74.08,1.26,5.79,Vaccination,48964,No,92.24,3308,2.33,18662,0.75,55.3
Russia,2017,Diabetes,Autoimmune,2.13,11.75,2.1,0-18,Other,416161,83.65,3.59,8.57,Surgery,35553,No,89.37,2496,5.78,49268,0.59,39.68
Nigeria,2020,Diabetes,Viral,9.47,2.6,3.53,61+,Male,999474,61.65,2.72,6.73,Therapy,47628,No,87.95,4522,7.5,57097,0.47,85.69
Mexico,2009,Diabetes,Respiratory,18.94,14.94,5.54,19-35,Other,833850,67.78,3.63,1.75,Therapy,10687,Yes,93.53,3183,7.98,54218,0.84,50.69
Germany,2013,Diabetes,Parasitic,7.66,9.28,7.76,19-35,Other,796524,91.11,0.79,5.44,Surgery,40448,Yes,96.61,3360,1.01,72285,0.82,22.74
Argentina,2020,Diabetes,Chronic,9.87,3.44,5.76,36-60,Male,146033,62.91,2.56,9.13,Vaccination,38679,Yes,89.9,575,2.19,78134,0.56,88.7
South Africa,2012,Diabetes,Infectious,16.53,13.88,3.92,36-60,Other,560309,91.02,4.85,4.84,Vaccination,44676,Yes,93.08,732,0.91,52515,0.67,34.74
Canada,2016,Diabetes,Respiratory,1.05,10.13,9.99,19-35,Other,589853,57.28,4.96,7.68,Vaccination,36856,No,85.82,1490,5.27,36198,0.61,77.18
China,2020,Diabetes,Genetic,18.46,5.25,4.46,19-35,Female,720698,67.14,1.07,8.79,Therapy,4982,Yes,94.02,844,8.23,4712,0.81,72.35
India,2006,Diabetes,Respiratory,16.99,7.49,7.1,61+,Male,535044,59.0,4.32,0.67,Medication,28224,No,84.57,732,6.92,27354,0.64,78.34
Italy,2020,Diabetes,Autoimmune,3.14,13.05,5.69,19-35,Male,683269,94.37,2.94,2.52,Surgery,9481,Yes,83.77,4558,9.31,40301,0.72,47.2
Turkey,2015,Diabetes,Cardiovascular,14.21,3.51,0.48,36-60,Female,918804,54.6,1.99,8.03,Medication,14930,Yes,86.32,622,6.92,9229,0.7,51.51
Japan,2019,Diabetes,Infectious,12.81,9.92,9.89,0-18,Male,189577,77.17,3.7,1.14,Medication,11076,Yes,86.75,2249,1.95,96204,0.67,27.78
Japan,2006,Diabetes,Infectious,9.95,6.47,7.45,36-60,Other,949606,99.02,1.2,2.81,Therapy,12008,Yes,69.39,605,7.09,59307,0.69,68.64
South Korea,2014,Diabetes,Autoimmune,4.06,2.6,2.2,0-18,Female,611568,64.58,1.11,3.27,Medication,48387,Yes,60.63,2007,5.08,33947,0.79,53.86
India,2013,Diabetes,Infectious,2.74,7.6,2.3,61+,Female,472777,52.26,1.92,0.85,Therapy,39941,No,65.01,1076,0.9,3465,0.69,49.9
Brazil,2003,Diabetes,Infectious,3.02,13.19,2.33,0-18,Female,652334,52.66,1.58,2.86,Vaccination,40197,Yes,94.68,1063,4.37,37749,0.89,20.76
Argentina,2002,Diabetes,Cardiovascular,5.99,11.34,0.52,19-35,Other,653599,74.72,1.81,3.02,Surgery,3409,No,57.39,1833,4.68,97544,0.44,56.19
Germany,2011,Diabetes,Parasitic,14.71,2.72,3.94,0-18,Other,906664,66.17,2.06,5.95,Surgery,41337,No,84.69,2475,0.15,73788,0.78,61.35
Italy,2004,Diabetes,Metabolic,9.73,12.35,2.58,0-18,Female,173937,79.06,2.98,7.33,Vaccination,5103,No,53.44,2633,1.99,37573,0.8,84.01
Australia,2013,Diabetes,Respiratory,19.0,2.35,2.62,36-60,Male,978815,52.72,2.19,8.85,Surgery,40953,Yes,68.02,2123,2.48,59540,0.79,81.52
Nigeria,2008,Diabetes,Viral,10.11,4.1,4.67,61+,Other,147336,97.86,2.46,2.95,Therapy,40326,Yes,68.54,3976,9.96,91149,0.86,59.12
Saudi Arabia,2013,Diabetes,Genetic,12.41,12.69,8.37,61+,Other,413201,64.87,1.26,1.42,Therapy,19145,Yes,66.33,3657,1.7,50731,0.73,40.72
UK,2016,Diabetes,Parasitic,17.98,14.76,3.78,61+,Other,589257,58.73,1.36,1.51,Surgery,28656,Yes,68.35,4028,5.52,49331,0.52,68.04
South Korea,2001,Diabetes,Neurological,19.57,4.29,5.63,0-18,Female,933658,79.53,2.29,3.47,Surgery,37924,Yes,72.17,3831,4.45,22162,0.8,42.42
Turkey,2005,Diabetes,Infectious,4.1,11.25,4.3,0-18,Female,839432,54.85,2.41,7.33,Vaccination,38697,No,90.96,4024,7.54,84544,0.64,78.5
Japan,2007,Diabetes,Autoimmune,14.89,14.0,3.51,36-60,Other,105708,53.39,1.61,6.93,Therapy,21747,Yes,53.32,1315,1.2,83813,0.67,87.98
Italy,2023,Diabetes,Autoimmune,2.19,8.32,1.75,36-60,Male,308902,63.59,4.17,5.86,Therapy,46722,No,64.97,119,8.63,36882,0.47,44.1
Germany,2016,Diabetes,Viral,2.17,4.62,6.38,19-35,Male,42523,55.86,0.78,6.9,Surgery,22289,No,95.38,2153,2.24,51278,0.6,33.7
USA,2014,Diabetes,Cardiovascular,13.7,10.11,1.74,19-35,Male,380322,97.4,2.26,7.98,Therapy,35029,No,73.41,4729,8.76,33558,0.55,60.96
Argentina,2009,Diabetes,Respiratory,14.87,0.52,1.81,0-18,Other,778674,59.21,3.99,6.83,Therapy,30243,No,61.61,2526,9.85,77978,0.86,22.23
Mexico,2021,Diabetes,Autoimmune,13.65,1.84,4.97,0-18,Female,82210,71.19,3.06,7.49,Medication,17742,No,69.39,3899,9.16,72542,0.62,52.2
USA,2008,Diabetes,Metabolic,5.07,8.71,8.5,0-18,Female,184664,98.7,2.53,4.3,Therapy,49637,No,98.33,3137,7.46,21758,0.43,24.23
Japan,2019,Diabetes,Viral,3.19,7.52,3.87,19-35,Male,745928,65.79,2.8,1.21,Vaccination,13608,No,67.34,919,0.2,3260,0.54,30.65
Nigeria,2008,Diabetes,Respiratory,3.46,2.61,1.68,0-18,Male,378958,63.92,1.28,1.01,Surgery,48696,No,64.05,2776,9.47,23379,0.82,70.1
Mexico,2021,Diabetes,Chronic,9.81,13.79,1.53,0-18,Female,912946,82.31,3.99,6.28,Therapy,25204,No,50.66,2487,1.26,92027,0.53,31.42
Australia,2011,Diabetes,Bacterial,15.37,7.27,6.21,36-60,Other,187384,89.63,2.94,2.42,Therapy,9556,Yes,82.66,2658,0.35,48220,0.52,51.4
USA,2012,Diabetes,Bacterial,14.7,1.97,5.55,0-18,Male,348938,61.45,3.0,1.82,Therapy,21704,No,55.1,2754,3.24,99831,0.49,74.89
India,2022,Diabetes,Bacterial,18.66,5.41,9.71,0-18,Male,106753,82.34,4.87,6.9,Medication,33835,Yes,79.24,3569,8.81,26696,0.47,75.91
Mexico,2010,Diabetes,Genetic,14.91,1.1,7.45,61+,Female,416151,53.72,1.71,7.0,Surgery,41025,Yes,50.95,1935,6.44,57455,0.84,83.62
Brazil,2022,Diabetes,Bacterial,7.65,12.09,6.24,36-60,Female,498018,74.81,1.58,3.17,Surgery,20450,Yes,75.33,3240,1.92,34550,0.41,28.88
Germany,2001,Diabetes,Parasitic,5.28,14.34,1.0,19-35,Other,509025,52.83,2.29,3.95,Medication,41299,Yes,63.76,3885,6.48,89561,0.55,71.49
Turkey,2005,Diabetes,Cardiovascular,16.66,0.44,8.83,36-60,Male,141707,54.66,1.97,9.96,Vaccination,662,No,78.88,3955,3.43,80918,0.44,50.68
India,2019,Diabetes,Bacterial,12.24,6.77,2.71,19-35,Other,572418,75.93,1.44,6.96,Therapy,23746,Yes,86.55,1137,6.98,75732,0.51,56.47
UK,2021,Diabetes,Metabolic,17.42,12.32,6.58,61+,Female,859034,94.9,0.6,6.69,Therapy,347,No,86.39,4435,0.51,67782,0.63,82.78
Indonesia,2019,Diabetes,Infectious,4.63,12.38,2.17,19-35,Male,34827,78.74,4.69,1.58,Medication,9272,Yes,83.58,429,1.45,35975,0.6,50.8
France,2020,Diabetes,Parasitic,5.83,7.56,9.92,0-18,Female,431105,95.67,0.71,8.98,Vaccination,42195,Yes,93.9,4157,8.13,27155,0.75,82.44
Argentina,2005,Diabetes,Autoimmune,14.17,14.16,6.62,61+,Other,122608,90.11,2.11,1.4,Surgery,48099,No,65.12,3079,9.32,89224,0.68,88.87
Brazil,2024,Diabetes,Infectious,4.37,1.78,0.44,36-60,Other,896004,51.15,1.23,1.68,Vaccination,34773,No,60.61,2122,7.64,31351,0.66,71.37
Italy,2021,Diabetes,Cardiovascular,4.34,9.88,9.19,61+,Male,391049,64.25,1.14,1.87,Vaccination,6444,Yes,91.53,237,5.87,37714,0.85,84.14
South Korea,2007,Diabetes,Metabolic,19.79,13.68,4.35,19-35,Female,999615,89.86,1.01,1.8,Therapy,46792,Yes,94.29,4881,0.13,74900,0.68,82.97
Canada,2016,Diabetes,Viral,16.94,4.24,9.93,61+,Female,845135,91.71,2.28,1.74,Vaccination,43366,No,55.33,1448,2.42,54375,0.56,49.14
Japan,2015,Diabetes,Cardiovascular,15.82,14.32,3.78,0-18,Male,109032,62.82,4.76,5.13,Surgery,8385,Yes,54.59,2644,1.23,84033,0.51,70.6
Germany,2009,Diabetes,Bacterial,8.49,6.5,0.5,0-18,Male,682543,64.01,1.22,8.25,Medication,30934,No,67.2,3546,7.14,82059,0.57,58.04
Nigeria,2003,Diabetes,Genetic,7.74,7.64,5.34,19-35,Male,318317,90.61,0.9,9.25,Surgery,21504,Yes,77.19,4789,8.25,44371,0.72,77.57
Canada,2005,Diabetes,Genetic,7.56,3.1,4.43,0-18,Other,371363,57.61,1.23,3.36,Therapy,25631,No,87.91,2225,1.37,7766,0.52,47.63
Russia,2017,Diabetes,Infectious,15.79,5.28,2.82,61+,Female,941907,91.9,4.71,8.33,Therapy,41654,No,62.42,2387,0.67,70099,0.51,77.48
France,2022,Diabetes,Genetic,9.63,9.89,7.42,19-35,Male,893407,87.58,1.26,2.61,Vaccination,36342,No,73.15,2557,2.54,10159,0.48,39.43
Indonesia,2013,Diabetes,Infectious,17.48,6.93,5.23,61+,Female,974051,62.77,1.74,5.29,Vaccination,11109,Yes,94.28,4990,3.71,51690,0.57,78.95
India,2001,Diabetes,Respiratory,8.65,12.32,0.21,0-18,Other,818173,84.74,3.35,2.93,Vaccination,45706,No,72.3,3357,0.74,6936,0.5,63.36
Japan,2013,Diabetes,Chronic,8.76,12.3,1.91,61+,Male,158665,88.31,3.36,7.21,Surgery,42647,Yes,60.86,283,7.59,30933,0.75,50.85
Saudi Arabia,2013,Diabetes,Bacterial,2.4,12.94,6.4,19-35,Other,14642,57.33,2.01,6.28,Vaccination,15096,No,74.2,3471,8.22,66328,0.68,39.82
Russia,2014,Diabetes,Bacterial,1.25,7.37,3.86,61+,Other,270103,71.46,3.74,8.19,Therapy,7672,Yes,80.07,922,9.78,61228,0.59,32.29
Japan,2004,Diabetes,Bacterial,4.74,11.14,3.53,36-60,Female,506628,73.64,4.06,5.59,Surgery,36612,Yes,66.44,84,5.34,47763,0.78,51.09
Italy,2006,Diabetes,Parasitic,17.9,3.03,8.0,0-18,Female,161052,50.3,1.46,9.84,Medication,15159,Yes,95.76,3244,1.98,19246,0.79,61.92
Saudi Arabia,2013,Diabetes,Cardiovascular,15.77,1.65,3.74,61+,Male,784315,75.91,3.36,5.7,Vaccination,49129,Yes,62.11,1298,5.01,21779,0.77,72.99
Nigeria,2009,Diabetes,Bacterial,10.49,11.86,4.46,61+,Male,719289,56.74,1.81,5.73,Therapy,28901,Yes,63.88,1590,7.71,47219,0.76,51.7
Argentina,2000,Diabetes,Respiratory,4.19,8.6,4.48,61+,Other,524264,91.6,0.8,4.6,Surgery,44337,Yes,52.89,1149,8.0,95151,0.52,65.63
Saudi Arabia,2019,Diabetes,Genetic,15.04,12.64,4.32,61+,Other,45923,93.4,0.81,9.36,Surgery,21787,No,58.0,3323,1.91,77645,0.65,73.64
Canada,2007,Diabetes,Parasitic,14.92,11.68,1.79,19-35,Female,889977,80.84,4.08,8.67,Therapy,7771,Yes,67.83,274,9.93,71690,0.7,52.38
China,2016,Diabetes,Genetic,8.21,9.2,2.1,36-60,Other,620145,75.78,1.39,5.64,Surgery,25559,No,85.37,3438,8.9,19512,0.49,89.2
Japan,2020,Diabetes,Respiratory,8.38,9.85,4.39,36-60,Other,944961,71.33,3.49,4.07,Vaccination,28336,No,94.58,1912,2.83,48631,0.65,33.19
China,2010,Diabetes,Genetic,16.37,12.6,1.47,61+,Female,707062,77.89,2.33,9.36,Medication,46821,No,95.21,1790,5.37,79235,0.41,24.29
France,2018,Diabetes,Metabolic,11.56,13.27,4.14,36-60,Female,954427,79.09,1.57,9.42,Therapy,43994,Yes,92.72,3151,9.36,93660,0.47,32.47
Mexico,2002,Diabetes,Parasitic,3.07,6.68,5.43,19-35,Male,282242,80.33,4.78,7.51,Therapy,36064,No,80.48,2517,6.39,42151,0.88,37.08
Saudi Arabia,2006,Diabetes,Viral,14.3,7.19,0.81,19-35,Female,958324,62.77,1.69,3.02,Medication,19537,Yes,79.16,6,2.36,79156,0.81,44.49
Argentina,2014,Diabetes,Metabolic,8.28,1.35,6.54,0-18,Female,588960,62.34,2.83,2.52,Vaccination,13435,Yes,60.84,528,1.55,44511,0.63,26.45
Brazil,2006,Diabetes,Bacterial,2.55,7.2,5.08,61+,Other,26239,98.91,3.21,7.89,Surgery,19911,Yes,71.74,2948,5.67,87700,0.55,63.01
Turkey,2011,Diabetes,Genetic,11.11,4.13,4.64,61+,Male,288393,77.56,3.9,4.46,Therapy,23453,Yes,81.06,3624,2.8,75904,0.48,24.13
Nigeria,2018,Diabetes,Cardiovascular,14.36,0.25,6.53,36-60,Male,139089,62.41,2.76,4.59,Therapy,27415,Yes,78.4,902,0.37,88309,0.52,52.26
Mexico,2008,Diabetes,Parasitic,6.83,13.7,3.09,36-60,Female,949397,88.15,3.75,6.79,Medication,19436,No,67.71,2842,5.74,41529,0.55,25.72
China,2014,Diabetes,Infectious,5.73,7.77,8.63,0-18,Male,863740,78.93,3.39,9.45,Medication,9345,No,54.94,3546,9.42,44157,0.43,56.17
Brazil,2022,Diabetes,Parasitic,8.12,7.04,8.93,0-18,Female,888922,51.59,3.6,1.54,Therapy,41004,Yes,89.73,1255,3.41,23415,0.43,29.12
Argentina,2011,Diabetes,Chronic,0.69,13.05,7.69,0-18,Other,242137,72.15,2.78,1.03,Medication,27069,Yes,63.19,3537,2.08,1303,0.47,71.19
Argentina,2005,Diabetes,Chronic,5.98,2.1,6.79,61+,Female,730173,97.5,1.08,8.92,Medication,28381,Yes,57.13,325,6.88,1099,0.62,26.94
Canada,2013,Diabetes,Respiratory,8.93,7.51,8.73,36-60,Female,230513,97.32,3.35,2.27,Therapy,4278,No,84.23,2156,1.38,85181,0.46,22.67
USA,2023,Diabetes,Metabolic,8.48,6.81,7.55,0-18,Other,756961,94.91,4.98,2.63,Medication,23214,Yes,75.39,1660,6.89,5337,0.63,23.68
Japan,2022,Diabetes,Viral,18.16,9.05,8.7,19-35,Male,550573,54.2,4.6,0.89,Vaccination,2386,No,78.43,1501,7.15,57812,0.81,76.1
USA,2008,Diabetes,Cardiovascular,7.34,11.6,7.85,19-35,Other,720371,61.55,3.09,6.27,Surgery,48513,No,59.39,752,9.36,83940,0.77,39.18
South Africa,2004,Diabetes,Infectious,4.18,3.21,1.35,0-18,Other,257521,84.94,2.94,1.18,Surgery,47369,Yes,81.03,4494,6.92,25800,0.42,20.11
Turkey,2020,Diabetes,Genetic,3.7,7.92,3.89,0-18,Other,677533,87.42,0.73,5.4,Vaccination,43364,Yes,89.99,2264,6.28,4073,0.86,61.56
Australia,2021,Diabetes,Infectious,10.46,14.44,8.23,19-35,Male,6945,55.45,2.26,3.51,Therapy,40395,No,89.11,2782,0.7,62131,0.58,65.72
South Africa,2019,Diabetes,Cardiovascular,3.48,1.9,7.09,61+,Male,857546,96.63,3.99,7.72,Surgery,13074,No,66.32,2685,2.86,42072,0.43,76.94
Nigeria,2004,Diabetes,Respiratory,9.89,7.17,5.67,36-60,Male,69973,50.28,2.99,0.57,Medication,8646,Yes,94.11,4913,2.71,67090,0.54,77.71
Canada,2008,Diabetes,Genetic,2.11,1.32,2.9,61+,Female,356215,98.85,3.98,5.54,Therapy,28469,Yes,74.06,647,2.83,65348,0.56,21.52
Australia,2011,Diabetes,Viral,0.3,2.33,0.4,61+,Female,50130,67.78,3.79,3.05,Therapy,2394,Yes,97.7,3376,3.66,43709,0.63,39.31
India,2014,Diabetes,Neurological,9.62,10.57,2.64,61+,Female,894728,57.71,3.89,5.3,Vaccination,43418,Yes,59.32,557,1.48,10429,0.85,27.74
Germany,2011,Diabetes,Autoimmune,3.87,14.47,2.68,19-35,Male,596811,55.15,1.09,3.46,Vaccination,47035,No,60.15,4192,5.73,39361,0.63,27.56
Germany,2012,Diabetes,Neurological,9.29,0.84,6.77,36-60,Other,957114,59.09,2.19,1.45,Surgery,35581,No,76.34,1037,1.48,22725,0.44,81.56
Saudi Arabia,2001,Diabetes,Neurological,4.25,9.07,9.53,0-18,Other,422910,79.34,2.36,2.39,Vaccination,7936,Yes,71.2,404,6.83,13020,0.69,63.1
Argentina,2001,Diabetes,Viral,8.71,13.22,7.22,0-18,Male,75167,95.27,1.84,7.48,Surgery,26850,Yes,59.05,286,1.81,28102,0.88,85.14
Mexico,2015,Diabetes,Viral,2.81,5.33,2.0,61+,Other,541336,62.76,2.48,1.08,Medication,10455,Yes,53.78,1577,0.76,88878,0.86,40.07
China,2010,Diabetes,Viral,19.97,13.91,5.27,19-35,Female,202444,61.23,3.05,9.25,Therapy,29269,Yes,51.44,3827,6.27,43338,0.72,69.78
Canada,2017,Diabetes,Infectious,5.13,11.77,4.44,19-35,Male,369356,82.71,3.35,5.98,Therapy,33373,No,67.71,1185,4.8,63955,0.87,38.16
India,2020,Diabetes,Infectious,6.51,8.95,0.53,36-60,Female,261706,84.62,4.14,3.12,Therapy,39364,No,89.44,3270,0.12,10721,0.55,35.1
Indonesia,2021,Diabetes,Parasitic,0.3,9.43,9.16,19-35,Male,880150,77.8,4.75,8.66,Medication,16626,Yes,78.59,3502,3.92,47437,0.42,52.5
Saudi Arabia,2017,Diabetes,Parasitic,18.63,7.72,6.81,0-18,Male,435267,83.49,1.64,4.79,Vaccination,46938,Yes,62.0,279,1.38,2169,0.44,25.64
South Korea,2009,Diabetes,Neurological,9.42,14.72,8.57,36-60,Male,218107,54.75,3.25,1.99,Surgery,39022,No,95.0,3911,1.65,21063,0.68,87.44
Australia,2018,Diabetes,Chronic,8.54,1.55,3.8,61+,Female,539336,51.15,2.62,8.76,Surgery,26635,Yes,50.3,1673,6.02,30987,0.46,30.36
Japan,2019,Diabetes,Infectious,4.99,1.52,8.86,0-18,Other,186554,77.52,2.83,1.29,Medication,34512,Yes,72.92,309,0.04,8166,0.48,49.15
Saudi Arabia,2016,Diabetes,Neurological,14.41,7.97,4.84,61+,Male,910686,65.92,4.41,5.54,Therapy,8495,Yes,95.14,749,9.25,84552,0.64,34.87
Turkey,2014,Diabetes,Cardiovascular,16.37,12.8,9.99,19-35,Male,641473,84.29,3.48,4.93,Therapy,46720,Yes,51.76,3879,8.09,17039,0.51,53.98
Russia,2018,Diabetes,Viral,18.07,5.77,1.2,19-35,Male,182146,97.43,2.18,1.74,Medication,44489,Yes,58.87,2383,9.55,75924,0.8,77.1
Germany,2001,Diabetes,Viral,4.45,7.89,5.91,36-60,Male,103531,96.75,2.97,5.64,Therapy,19156,No,70.02,4302,9.02,64014,0.45,27.07
UK,2023,Diabetes,Viral,11.74,11.7,9.0,61+,Other,727692,85.29,4.18,5.2,Vaccination,8292,No,76.51,3378,4.56,96384,0.55,72.52
UK,2003,Diabetes,Respiratory,4.22,8.39,9.17,61+,Female,664262,82.51,0.69,6.87,Therapy,14550,No,81.79,1826,3.34,96664,0.44,39.7
South Africa,2014,Diabetes,Parasitic,19.28,11.32,3.3,61+,Female,176388,96.82,2.13,3.29,Surgery,35633,Yes,96.3,4292,2.18,70993,0.75,27.69
India,2007,Diabetes,Autoimmune,6.88,6.85,6.21,0-18,Other,899064,78.03,2.28,3.43,Surgery,13027,Yes,73.57,808,5.53,71239,0.88,61.88
Saudi Arabia,2023,Diabetes,Respiratory,5.59,8.77,8.81,61+,Other,108494,71.89,0.81,3.35,Vaccination,24093,No,51.59,13,3.38,70434,0.53,71.63
Russia,2007,Diabetes,Chronic,13.15,3.62,4.94,36-60,Female,742445,89.52,1.37,7.86,Medication,30178,Yes,97.67,250,2.19,82075,0.59,68.54
Russia,2010,Diabetes,Metabolic,6.32,14.52,1.11,0-18,Male,252715,60.81,3.88,4.93,Medication,8278,No,70.08,3658,9.17,16894,0.7,60.93
France,2021,Diabetes,Chronic,16.61,4.38,8.39,36-60,Male,400679,79.99,2.11,3.67,Therapy,48651,Yes,67.13,637,9.09,8597,0.47,40.79
Turkey,2007,Diabetes,Respiratory,11.72,8.72,9.33,36-60,Male,36928,63.55,0.5,4.01,Therapy,17753,Yes,86.14,4472,6.16,23380,0.68,83.51
Turkey,2022,Diabetes,Parasitic,12.96,13.6,7.72,0-18,Male,401264,90.17,3.19,6.1,Therapy,45390,No,80.97,3160,6.08,1956,0.48,80.22
